Customer ID,1st Order Profit,Subsequent Order Profit,Subsequent Orders Count,Total value of all promotions
385,16,0,0,6
386,7,36,6,0
387,13,0,0,0
388,7,16,9,6
389,4,80,7,29
390,6,0,0,0
391,10,31,4,22
392,6,110,9,3
393,8,0,0,1
394,14,39,3,0
395,3,47,7,10
396,4,10,2,3
398,13,83,6,27
399,2,14,2,3
400,23,24,2,11
401,3,29,3,0
402,8,24,1,4
403,7,67,13,9
404,7,77,7,0
405,23,33,4,0
406,17,77,9,0
407,9,0,0,0
408,5,10,1,3
409,3,144,12,12
410,11,131,12,0
411,7,0,0,3
412,5,26,8,16
413,3,135,12,19
414,4,45,6,7
415,8,44,7,5
416,1,106,8,0
417,3,0,0,2
418,7,97,12,50
419,6,49,8,2
420,2,207,12,0
421,8,60,13,0
422,11,54,4,16
423,8,38,8,23
424,10,21,2,10
425,9,26,2,3
426,16,57,8,0
427,13,0,0,0
428,4,9,1,0
429,4,0,0,0
430,2,0,0,3
431,3,149,10,40
432,13,0,0,0
433,13,0,0,2
434,19,65,6,2
435,22,14,2,1
436,18,76,8,40
437,4,0,0,0
438,9,51,3,0
439,3,85,7,10
440,9,25,3,5
441,19,122,10,0
442,6,14,2,3
443,22,0,0,0
444,8,5,1,0
445,2,0,0,0
446,14,50,4,2
447,2,0,0,1
448,7,65,7,23
449,3,0,0,0
450,14,12,1,0
451,3,17,4,7
452,5,0,0,2
453,12,14,1,0
454,13,29,4,14
455,2,114,12,64
456,19,152,16,12
457,2,0,0,1
459,7,68,9,19
460,9,19,3,5
461,10,37,4,2
462,11,22,3,10
463,15,0,0,0
464,8,0,0,2
465,2,38,3,7
466,16,192,13,27
467,17,0,0,1
468,11,30,2,0
469,8,20,6,2
470,17,0,0,0
471,2,0,0,0
472,7,0,0,0
473,12,0,0,5
474,15,0,0,5
475,18,0,0,4
476,5,0,0,2
477,11,0,0,6
478,13,0,0,0
479,7,0,0,0
480,6,35,4,6
481,10,116,6,0
483,9,0,0,1
484,29,74,3,0
485,4,119,9,0
486,4,73,6,0
487,22,0,0,0
488,2,20,2,0
489,3,0,0,2
490,10,31,5,2
491,5,46,7,13
492,5,67,6,14
493,2,71,6,13
494,5,0,0,2
495,10,0,0,1
496,22,156,12,0
497,2,0,0,0
498,18,212,13,41
499,2,0,0,1
500,12,16,3,0
501,2,0,0,1
502,11,73,7,22
503,12,79,7,0
504,18,0,0,0
505,13,49,8,0
506,8,53,4,1
507,2,0,0,1
509,2,51,4,3
510,2,214,16,18
511,4,28,15,0
512,2,40,9,2
513,6,0,0,2
514,4,34,6,4
515,10,44,6,9
516,12,9,2,0
517,2,0,0,0
518,11,16,1,0
519,9,66,9,6
520,5,196,13,43
521,12,30,1,1
522,6,41,5,1
523,4,19,1,7
524,22,29,3,13
525,11,0,0,2
526,10,0,0,2
527,2,0,0,0
528,10,0,0,1
529,2,67,6,9
530,16,47,5,2
531,11,18,3,0
532,5,15,3,10
533,2,19,4,0
534,14,51,7,20
535,11,134,12,0
536,11,78,7,11
537,19,0,0,7
538,22,10,5,18
539,5,32,5,0
540,8,87,7,0
541,7,25,5,0
542,3,18,5,7
543,5,5,2,7
544,5,4,1,0
545,9,70,8,15
546,11,93,12,12
547,4,0,0,1
548,3,55,5,11
549,9,30,2,5
550,7,83,11,15
551,9,108,8,0
552,13,69,7,25
553,13,24,3,6
554,14,74,8,1
555,23,14,1,19
556,10,109,10,12
557,5,0,0,1
558,1,93,17,62
559,10,0,0,1
560,2,17,1,0
561,4,18,3,2
562,6,174,12,1
563,6,82,10,43
564,2,135,14,45
565,10,0,0,0
566,8,0,0,2
567,2,0,0,0
568,8,38,5,18
570,2,0,0,0
571,14,0,0,0
572,3,0,0,1
573,12,0,0,0
574,13,0,0,3
575,6,0,0,1
576,2,0,0,1
577,1,0,0,0
578,11,0,0,3
579,10,0,0,2
580,10,40,6,8
581,10,0,0,1
582,14,25,6,2
583,16,27,2,23
584,12,174,12,0
585,8,0,0,6
586,17,44,10,0
587,2,0,0,1
588,6,45,6,7
589,22,51,9,0
590,15,66,8,18
591,12,82,10,43
592,2,0,0,1
594,7,23,7,16
595,13,36,4,5
596,17,0,0,0
597,9,0,0,2
598,10,18,4,9
599,14,35,6,14
600,4,53,5,0
601,9,61,9,0
602,3,5,1,0
603,24,76,6,16
604,12,0,0,2
605,2,16,3,0
606,29,73,12,27
607,3,0,0,4
608,2,12,2,0
609,10,75,7,21
610,7,0,0,0
611,8,22,1,3
612,4,23,2,0
613,18,26,10,5
614,7,49,4,0
615,19,27,3,0
616,2,0,0,0
617,4,0,0,1
618,5,0,0,0
620,16,63,11,0
621,3,7,1,1
622,20,0,0,0
623,10,33,8,11
624,10,17,5,5
625,8,36,3,22
626,9,58,7,18
627,9,0,0,2
628,8,52,10,13
629,3,22,3,17
630,17,40,4,0
631,2,143,12,0
632,10,21,6,13
633,1,0,0,0
634,10,0,0,8
635,14,85,8,3
636,9,69,6,0
637,4,0,0,1
638,8,39,5,8
639,3,0,0,0
640,13,83,6,0
641,10,24,3,6
642,2,20,5,0
643,13,80,11,10
644,17,81,6,15
645,6,0,0,1
646,13,14,2,6
647,3,0,0,1
648,6,86,7,36
649,2,6,1,0
650,11,61,4,0
651,14,278,16,18
652,16,35,3,0
653,4,98,12,27
654,7,64,10,3
655,1,42,4,0
656,12,24,4,14
657,8,0,0,1
658,4,130,13,0
659,18,51,4,6
660,11,0,0,0
661,20,92,11,0
662,11,103,6,0
663,2,22,2,11
664,6,23,5,10
665,6,56,4,0
666,10,51,7,11
667,20,0,0,0
668,10,0,0,0
669,7,46,3,1
670,13,0,0,0
671,17,0,0,1
672,11,0,0,1
673,7,0,0,3
674,3,0,0,1
675,13,0,0,0
676,9,0,0,1
677,7,0,0,1
678,11,0,0,0
679,9,0,0,1
681,13,45,3,25
682,2,0,0,0
683,5,0,0,0
684,7,93,12,64
685,7,22,3,20
686,2,39,3,0
687,2,0,0,0
688,8,83,10,8
689,4,211,12,0
690,3,24,5,2
691,3,78,6,4
692,5,81,10,2
693,8,10,3,6
694,10,21,7,28
695,10,0,0,4
696,2,15,1,6
697,16,0,0,3
698,5,0,0,0
699,11,0,0,8
700,8,0,0,1
701,5,0,0,0
702,36,0,0,17
703,27,0,0,12
705,13,0,0,0
706,23,0,0,4
707,11,0,0,4
708,5,0,0,1
709,5,0,0,0
710,3,0,0,0
711,2,0,0,1
712,10,0,0,0
713,8,0,0,0
714,9,0,0,3
715,9,0,0,1
716,6,0,0,1
717,8,0,0,0
718,7,0,0,4
719,12,0,0,1
720,9,0,0,0
721,16,0,0,0
722,12,0,0,0
723,4,0,0,2
724,5,0,0,1
725,2,0,0,0
726,10,0,0,2
727,19,0,0,9
728,7,0,0,0
729,11,0,0,0
731,12,0,0,4
732,8,0,0,3
733,4,0,0,1
734,2,0,0,0
735,4,0,0,2
736,7,0,0,0
737,9,0,0,0
738,4,0,0,2
739,2,0,0,0
740,12,0,0,3
741,9,0,0,6
742,8,0,0,0
743,7,0,0,0
744,5,0,0,1
745,18,0,0,0
746,23,0,0,1
747,2,0,0,0
748,6,0,0,3
749,19,0,0,5
750,4,0,0,1
751,6,0,0,2
752,15,0,0,0
753,8,0,0,0
754,3,0,0,0
755,9,0,0,1
756,12,0,0,0
757,9,0,0,1
758,10,0,0,5
759,2,0,0,0
760,4,0,0,0
761,12,0,0,0
762,15,0,0,2
763,6,0,0,1
764,6,0,0,0
765,7,0,0,0
766,18,0,0,0
767,18,0,0,0
768,8,0,0,3
769,2,0,0,1
770,6,0,0,0
771,13,0,0,5
772,12,0,0,5
773,9,0,0,0
774,16,0,0,6
775,14,0,0,6
776,3,0,0,0
777,2,0,0,0
778,5,0,0,0
779,22,0,0,7
780,8,0,0,0
781,2,0,0,0
782,8,0,0,2
783,10,0,0,1
784,5,0,0,1
785,1,0,0,0
786,10,0,0,0
787,5,0,0,1
788,19,0,0,17
789,17,0,0,8
790,2,0,0,0
792,5,0,0,0
793,3,0,0,2
794,11,0,0,2
795,10,0,0,3
796,13,0,0,3
797,9,0,0,4
798,4,0,0,1
799,4,0,0,1
800,10,82,10,0
801,6,72,8,0
802,12,63,9,11
803,5,41,7,13
804,7,130,10,21
805,4,57,4,0
806,12,0,0,1
807,6,0,0,0
808,4,119,13,0
809,6,19,2,0
810,7,8,1,0
811,13,139,9,43
812,11,0,0,4
813,2,0,0,0
814,4,114,12,0
816,17,9,2,3
817,2,0,0,1
818,4,0,0,0
819,6,55,4,7
820,18,0,0,0
821,5,0,0,5
822,2,0,0,0
823,11,0,0,4
824,10,117,9,1
825,19,310,16,0
826,10,41,3,5
827,6,0,0,0
828,17,60,5,6
829,14,32,8,16
830,5,33,4,0
831,4,62,6,2
832,12,52,3,5
833,4,168,9,41
834,18,183,10,11
835,7,64,14,30
836,1,0,0,0
837,9,0,0,0
838,11,74,10,0
839,16,91,6,0
840,11,31,4,10
842,4,178,17,52
843,9,27,5,0
844,8,57,9,6
845,17,6,1,7
846,10,47,4,0
847,3,0,0,2
848,12,52,10,29
849,8,0,0,0
850,11,24,2,0
851,6,0,0,0
852,7,68,8,0
853,1,93,13,51
854,7,0,0,2
855,11,0,0,4
856,7,11,6,11
857,5,0,0,2
858,9,27,3,19
859,9,42,6,0
860,13,127,10,43
861,6,0,0,2
862,4,30,7,7
863,12,15,1,0
864,3,8,1,0
865,5,49,5,0
866,12,0,0,0
867,3,0,0,1
868,17,90,7,0
869,7,0,0,1
870,6,0,0,1
871,10,0,0,5
872,6,0,0,0
873,3,0,0,2
874,5,0,0,1
875,8,0,0,1
876,18,0,0,7
877,2,0,0,0
878,12,0,0,1
879,3,0,0,1
880,7,25,4,10
881,14,48,10,0
882,5,43,6,0
883,6,66,5,6
884,8,33,4,6
885,13,63,6,0
886,13,82,6,29
887,4,0,0,0
888,12,77,7,19
889,5,149,10,25
890,7,22,7,2
891,3,79,6,5
892,14,82,9,44
893,9,46,10,18
894,8,18,2,0
895,12,43,10,17
896,2,16,4,2
897,2,0,0,0
898,11,49,6,0
899,8,0,0,0
900,8,34,3,9
901,12,133,11,20
903,17,107,10,2
904,4,0,0,1
905,12,0,0,3
906,24,8,3,2
907,9,0,0,5
908,1,11,7,7
909,28,0,0,3
910,2,0,0,1
911,2,26,3,1
912,15,138,13,0
913,2,9,1,2
914,2,45,7,3
915,2,0,0,1
916,11,5,1,1
917,4,0,0,1
918,6,79,13,0
919,12,25,3,2
920,11,61,8,34
921,7,55,4,1
922,12,26,6,0
923,19,0,0,7
924,7,42,6,14
925,11,32,8,14
927,17,0,0,5
928,8,66,10,14
929,11,10,6,0
930,24,0,0,0
931,11,0,0,1
932,1,6,1,0
933,11,11,1,1
934,1,48,7,3
935,10,48,5,0
936,11,11,3,11
937,7,0,0,3
938,7,3,1,0
939,2,0,0,1
940,12,0,0,0
941,10,35,7,5
942,10,17,2,1
943,1,0,0,0
944,16,0,0,1
945,7,82,8,29
946,1,12,2,7
947,12,0,0,5
948,6,14,1,0
949,8,71,5,0
950,17,60,7,33
951,15,44,6,11
953,20,0,0,2
954,9,56,7,0
955,11,56,10,8
956,13,29,4,9
957,17,0,0,4
958,6,26,2,8
959,3,26,12,0
960,7,7,4,2
961,9,48,7,17
962,5,19,1,2
963,2,5,1,0
964,2,38,7,0
965,5,0,0,1
966,32,10,3,12
967,12,0,0,0
968,1,34,4,0
969,11,103,13,0
970,9,0,0,0
971,2,0,0,0
972,11,0,0,0
973,23,0,0,0
974,14,0,0,0
975,5,0,0,1
976,8,0,0,1
977,4,0,0,0
978,7,0,0,0
979,17,0,0,1
980,14,0,0,0
981,17,25,6,0
982,11,62,7,0
983,9,96,7,41
984,11,0,0,0
985,8,54,7,0
986,11,15,4,0
987,3,0,0,1
988,10,0,0,0
989,3,43,6,4
990,5,72,10,48
991,7,0,0,0
992,11,37,9,5
993,20,47,5,0
994,14,299,17,42
995,7,0,0,6
996,9,16,4,2
997,8,0,0,0
998,4,41,6,18
999,2,12,2,3
1000,11,34,3,24
1001,5,64,9,0
1002,4,23,5,0
1003,5,60,8,0
1004,8,7,1,13
1005,3,61,9,0
1006,8,34,4,0
1007,7,0,0,0
1008,11,56,6,5
1009,14,28,3,11
1010,11,116,8,0
1011,7,0,0,3
1012,9,101,7,30
1014,10,123,9,52
1015,21,188,11,5
1016,7,53,9,0
1017,1,0,0,0
1018,6,19,3,4
1019,14,5,1,4
1020,3,91,9,25
1021,18,146,16,6
1022,7,0,0,3
1023,5,39,3,0
1024,3,21,8,0
1025,24,0,0,0
1026,12,43,10,0
1027,14,0,0,3
1028,10,108,12,11
1029,14,138,13,0
1030,8,11,3,7
1031,9,30,3,0
1032,5,34,4,9
1033,8,23,2,6
1034,14,86,9,12
1035,16,15,1,0
1036,12,115,17,47
1038,3,28,7,16
1039,2,17,3,0
1040,13,46,6,26
1041,16,14,1,0
1042,7,4,1,2
1043,6,42,4,8
1044,1,44,4,0
1045,7,0,0,1
1046,13,16,1,0
1047,1,0,0,0
1048,4,85,14,47
1049,6,82,10,29
1050,16,19,2,9
1051,1,102,8,10
1052,1,51,7,0
1053,15,0,0,2
1054,8,174,13,25
1055,2,61,6,22
1056,10,18,1,6
1057,4,0,0,1
1058,6,18,1,4
1059,2,8,2,0
1060,16,85,8,2
1061,19,51,4,20
1062,12,18,2,14
1064,5,29,5,21
1065,12,104,9,0
1066,11,23,6,0
1067,2,0,0,0
1068,13,294,20,30
1069,16,45,3,0
1070,12,0,0,3
1071,7,0,0,0
1072,3,0,0,0
1073,7,0,0,2
1074,10,0,0,3
1075,9,0,0,1
1076,8,0,0,0
1077,16,0,0,4
1078,18,0,0,4
1079,7,0,0,0
1080,10,26,4,0
1081,5,11,4,5
1082,7,26,2,2
1083,2,50,3,7
1084,8,41,7,14
1085,8,0,0,1
1086,7,34,5,11
1087,7,0,0,0
1088,7,37,6,0
1089,11,30,3,2
1090,12,28,3,0
1091,4,104,13,0
1092,13,0,0,3
1093,4,60,4,14
1094,2,41,3,2
1095,4,272,14,26
1096,9,52,7,0
1097,8,0,0,2
1098,9,127,12,0
1099,10,0,0,3
1100,17,0,0,0
1101,12,23,2,8
1102,5,11,2,5
1103,5,0,0,3
1104,29,0,0,6
1105,7,0,0,1
1106,12,11,2,3
1107,11,0,0,0
1108,6,108,10,33
1109,17,61,9,16
1110,4,0,0,1
1111,4,17,1,2
1112,10,14,2,5
1113,2,87,7,0
1114,4,56,7,0
1115,11,68,6,7
1116,4,31,3,0
1117,8,0,0,5
1118,17,5,1,0
1119,13,90,6,15
1120,15,120,10,0
1121,3,54,9,0
1122,12,83,6,35
1123,11,5,1,3
1125,6,19,14,0
1126,5,16,1,5
1127,9,0,0,6
1128,6,0,0,0
1129,18,85,6,26
1130,9,11,2,0
1131,4,73,8,7
1132,26,0,0,0
1133,18,6,1,0
1134,2,0,0,0
1135,9,31,4,0
1136,12,91,9,5
1137,2,0,0,0
1138,2,43,6,11
1139,2,93,6,23
1140,4,65,9,0
1141,12,117,7,2
1142,4,20,3,0
1143,10,118,12,0
1144,2,0,0,0
1145,4,48,6,0
1146,13,0,0,0
1147,10,0,0,3
1149,15,0,0,1
1150,11,0,0,0
1151,11,52,12,16
1152,2,28,5,0
1153,8,19,2,0
1154,5,11,2,7
1155,7,29,7,11
1156,14,86,6,27
1157,14,0,0,0
1158,17,86,16,10
1159,12,19,5,8
1160,8,82,12,28
1161,10,67,12,0
1162,12,0,0,3
1163,2,9,2,2
1164,2,61,7,4
1165,3,0,0,1
1166,2,51,9,16
1167,9,0,0,6
1168,7,0,0,2
1169,5,31,6,12
1170,5,0,0,1
1171,13,0,0,0
1172,17,0,0,0
1173,14,0,0,1
1175,1,0,0,0
1176,3,0,0,0
1177,16,0,0,0
1178,7,0,0,5
1179,11,0,0,1
1180,17,0,0,3
1181,15,82,10,8
1182,3,42,7,19
1183,17,0,0,3
1184,7,86,6,26
1185,24,12,3,13
1186,2,35,8,0
1187,3,0,0,1
1188,2,65,7,10
1189,6,7,1,0
1190,7,109,10,0
1191,3,74,13,19
1192,17,77,10,9
1193,1,83,12,14
1194,5,15,6,3
1195,7,59,5,0
1196,2,0,0,1
1197,2,0,0,0
1198,2,7,1,1
1199,2,56,6,3
1200,2,16,4,2
1201,14,0,0,4
1202,13,0,0,2
1203,1,10,1,2
1204,5,79,6,0
1205,19,15,2,0
1206,27,0,0,0
1207,6,0,0,1
1208,13,0,0,0
1209,5,81,9,52
1210,10,48,6,0
1211,25,49,4,14
1212,2,53,3,5
1213,4,38,4,13
1214,5,23,8,6
1215,5,0,0,0
1216,3,55,4,16
1217,7,0,0,2
1218,13,265,19,72
1219,3,16,2,14
1220,3,26,6,0
1221,13,0,0,0
1222,7,13,2,1
1223,14,113,10,0
1224,6,0,0,0
1225,9,40,6,4
1226,7,143,14,24
1227,17,0,0,9
1228,4,43,6,11
1229,14,0,0,3
1230,9,72,6,5
1231,23,0,0,1
1232,11,23,5,16
1233,4,12,2,3
1234,12,95,8,29
1236,7,10,2,10
1237,20,0,0,7
1238,6,226,16,0
1239,14,6,1,0
1240,16,0,0,5
1241,10,9,2,0
1242,2,82,12,32
1243,5,0,0,3
1244,17,44,4,0
1245,8,0,0,0
1246,24,85,6,0
1247,13,0,0,4
1248,5,67,4,0
1249,8,0,0,4
1250,8,13,1,5
1251,2,0,0,0
1252,10,54,8,8
1253,11,56,6,4
1254,13,73,13,4
1255,34,27,3,0
1256,14,29,5,0
1257,9,0,0,0
1258,13,10,2,8
1260,16,0,0,2
1261,8,7,2,8
1262,6,14,1,8
1263,8,15,3,0
1264,5,27,4,8
1265,6,39,5,10
1266,6,126,8,1
1267,2,0,0,1
1268,14,0,0,5
1269,14,22,2,4
1270,6,0,0,2
1271,11,0,0,8
1272,15,0,0,4
1273,4,0,0,0
1274,13,0,0,4
1275,18,0,0,0
1276,8,0,0,2
1277,4,0,0,0
1278,10,0,0,4
1279,13,0,0,0
1280,14,62,6,18
1281,3,52,4,18
1282,23,80,9,3
1283,11,297,19,61
1284,5,0,0,2
1286,13,52,4,1
1287,10,0,0,0
1288,10,81,9,0
1289,15,47,6,1
1290,13,117,13,17
1291,12,83,7,20
1292,2,96,12,22
1293,11,55,4,0
1294,10,82,7,0
1295,3,0,0,1
1296,16,78,6,6
1297,20,0,0,0
1298,5,122,9,0
1299,2,85,9,8
1300,9,116,14,0
1301,1,45,5,11
1302,16,18,3,0
1303,12,141,10,19
1304,10,82,12,1
1305,16,29,4,12
1306,18,34,4,4
1307,9,0,0,0
1308,11,7,1,0
1309,5,59,7,0
1310,14,94,11,18
1311,11,30,4,15
1312,9,10,1,0
1313,2,79,6,0
1314,10,49,5,9
1315,25,22,6,4
1316,19,36,3,0
1317,13,0,0,4
1318,13,151,13,30
1319,24,56,6,18
1320,9,17,6,9
1321,1,41,4,0
1322,9,0,0,1
1323,16,51,7,25
1324,26,81,6,8
1325,1,7,1,4
1326,11,30,4,0
1327,18,0,0,6
1328,10,25,3,3
1329,6,8,1,3
1330,2,24,2,2
1331,9,115,14,41
1332,2,0,0,0
1333,14,0,0,0
1334,3,30,4,3
1335,8,90,11,0
1336,14,29,4,0
1337,9,0,0,2
1338,11,105,7,14
1339,4,0,0,0
1340,1,102,16,45
1341,2,42,5,5
1342,9,51,7,12
1343,3,16,2,10
1344,5,0,0,0
1345,7,62,6,23
1347,8,0,0,1
1348,17,43,3,13
1349,23,0,0,1
1350,13,0,0,5
1351,17,16,4,0
1352,5,0,0,0
1353,14,13,2,7
1354,12,0,0,5
1355,8,71,10,8
1356,13,38,5,0
1357,8,0,0,1
1358,3,8,2,4
1359,12,18,2,0
1360,8,75,5,21
1361,2,91,9,0
1362,10,24,4,8
1363,32,0,0,0
1364,9,0,0,0
1365,8,76,6,0
1366,11,0,0,6
1367,15,0,0,0
1368,1,15,5,10
1369,30,0,0,5
1371,16,0,0,3
1372,3,0,0,1
1373,10,0,0,0
1374,18,0,0,0
1375,19,0,0,0
1376,12,0,0,1
1377,18,0,0,9
1378,6,0,0,1
1379,5,0,0,2
1380,25,169,9,84
1381,12,95,12,0
1382,14,14,3,0
1383,6,0,0,0
1384,4,15,5,0
1385,9,81,10,10
1386,4,106,6,41
1387,23,0,0,5
1388,3,26,3,0
1389,3,48,11,23
1390,7,61,6,0
